question|fortune
Did the Montreal Canadiens win the Stanley Cup 2014 ?|Concentrate and ask again
Will the Columbus Blue Jackets win the Stanley Cup 2014 ?|It is decidedly so
Will the Detroit Red Wings win the Stanley Cup 2014 ?|Concentrate and ask again
Did the Detroit Red Wings win the Stanley Cup 2014 ?|Yes
Did the Minnesota Wild win the Stanley Cup 2014 ?|Without a doubt
Did the Anaheim Ducks win the Stanley Cup 2014 ?|Better not tell you now
Did the Dallas Stars win the Stanley Cup 2014 ?|My reply is no
Will the Los Angeles Kings win the Stanley Cup 2014 ?|Concentrate and ask again
Did the Los Angeles Kings win the Stanley Cup 2014 ?|Yes
Will the Los Angeles Kings lose the Stanley Cup 2014 ?|You may rely on it
Did the Los Angeles Kings lose the Stanley Cup 2014 ?|Concentrate and ask again
will the Los Angeles Kings win the Stanley Cup 2014 finals ?|Signs point to yes
will the Los Angeles Kings qualify for the Stanley Cup 2014 ?|Reply hazy, try again
will the Los Angeles Kings win the Stanley Cup finals ?|Without a doubt
will the Los Angeles Kings qualify for the Stanley Cup ?|Better not tell you now
did the Los Angeles Kings win the Stanley Cup 2014 finals ?|Outlook good
did the Los Angeles Kings qualify for the Stanley Cup 2014 ?|Signs point to yes
did the Los Angeles Kings win the Stanley Cup finals ?|You may rely on it
did the Los Angeles Kings qualify for the Stanley Cup ?|Without a doubt
Will the San Jose Sharks win the Stanley Cup 2014 ?|Outlook good
Will the Arsenal win the Premier League 2015 ?|Without a doubt
Did the Arsenal win the Premier League 2015 ?|Yes
Will the Aston Villa win the Premier League 2015 ?|Reply hazy, try again
Will the Birmingham City win the Premier League 2015 ?|You may rely on it
Did the Birmingham City win the Premier League 2015 ?|Concentrate and ask again
Did the Blackburn Rovers win the Premier League 2015 ?|You may rely on it
Will the Blackpool win the Premier League 2015 ?|Better not tell you now
Did the Blackpool win the Premier League 2015 ?|My reply is no
Will the Bolton Wanderers win the Premier League 2015 ?|Without a doubt
Did the Bolton Wanderers win the Premier League 2015 ?|You may rely on it
Will the Chelsea win the Premier League 2015 ?|Without a doubt
Did the Chelsea win the Premier League 2015 ?|Yes
Will the Chelsea lose the Premier League 2015 ?|My reply is no
Did the Chelsea lose the Premier League 2015 ?|Without a doubt
will the Chelsea qualify for the Premier League 2015 ?|You may rely on it
will the Chelsea qualify for the Premier League ?|Without a doubt
did the Chelsea qualify for the Premier League 2015 ?|Concentrate and ask again
did the Chelsea qualify for the Premier League ?|Better not tell you now
Will the Everton win the Premier League 2015 ?|Without a doubt
Did the Everton win the Premier League 2015 ?|Yes
Will the Fulham win the Premier League 2015 ?|Yes
Did the Fulham win the Premier League 2015 ?|Outlook not so good
Did the Liverpool win the Premier League 2015 ?|My reply is no
Will the Manchester City win the Premier League 2015 ?|You may rely on it
Did the Manchester City win the Premier League 2015 ?|Concentrate and ask again
Will the Manchester United win the Premier League 2015 ?|Better not tell you now
Did the Manchester United win the Premier League 2015 ?|Without a doubt
Will the Newcastle United win the Premier League 2015 ?|Without a doubt
Did the Newcastle United win the Premier League 2015 ?|You may rely on it
Did the Stoke City win the Premier League 2015 ?|Better not tell you now
Will the Sunderland win the Premier League 2015 ?|Without a doubt
Will the Tottenham Hotspur win the Premier League 2015 ?|Better not tell you now
Did the Tottenham Hotspur win the Premier League 2015 ?|Without a doubt
Will the West Bromwich Albion win the Premier League 2015 ?|Outlook good
Did the West Bromwich Albion win the Premier League 2015 ?|Cannot predict now
Did the West Ham United win the Premier League 2015 ?|Concentrate and ask again
Will the Arsenal win the Premier League 2014 ?|Without a doubt
Did the Arsenal win the Premier League 2014 ?|Yes
Did the Aston Villa win the Premier League 2014 ?|Without a doubt
Did the Birmingham City win the Premier League 2014 ?|Concentrate and ask again
Will the Blackburn Rovers win the Premier League 2014 ?|Without a doubt
Did the Blackburn Rovers win the Premier League 2014 ?|You may rely on it
Did the Blackpool win the Premier League 2014 ?|My reply is no
Will the Chelsea win the Premier League 2014 ?|Without a doubt
Did the Chelsea win the Premier League 2014 ?|Yes
Did the Everton win the Premier League 2014 ?|Yes
Will the Fulham win the Premier League 2014 ?|Yes
Did the Fulham win the Premier League 2014 ?|Outlook not so good
Will the Liverpool win the Premier League 2014 ?|Better not tell you now
Did the Liverpool win the Premier League 2014 ?|My reply is no
Will the Manchester City win the Premier League 2014 ?|You may rely on it
Did the Manchester City win the Premier League 2014 ?|Concentrate and ask again
Will the Manchester City lose the Premier League 2014 ?|Without a doubt
Did the Manchester City lose the Premier League 2014 ?|You may rely on it
will the Manchester City qualify for the Premier League 2014 ?|Cannot predict now
will the Manchester City qualify for the Premier League ?|It is decidedly so
did the Manchester City qualify for the Premier League 2014 ?|Reply hazy, try again
did the Manchester City qualify for the Premier League ?|Better not tell you now
Will the Manchester United win the Premier League 2014 ?|Better not tell you now
Did the Manchester United win the Premier League 2014 ?|Without a doubt
Will the Newcastle United win the Premier League 2014 ?|Without a doubt
Did the Newcastle United win the Premier League 2014 ?|You may rely on it
Will the Stoke City win the Premier League 2014 ?|Without a doubt
Did the Stoke City win the Premier League 2014 ?|Better not tell you now
Will the Sunderland win the Premier League 2014 ?|Without a doubt
Will the Tottenham Hotspur win the Premier League 2014 ?|Better not tell you now
Did the Tottenham Hotspur win the Premier League 2014 ?|Without a doubt
Will the West Bromwich Albion win the Premier League 2014 ?|Outlook good
Will the West Ham United win the Premier League 2014 ?|You may rely on it
Did the West Ham United win the Premier League 2014 ?|Concentrate and ask again
Will Novak Djokovic win the US Open 2015 ?|Yes – definitely
Did Novak Djokovic win the US Open 2015 ?|My sources say no
Will Novak Djokovic lose the US Open 2015 ?|It is decidedly so
Did Novak Djokovic lose the US Open 2015 ?|Yes – definitely
will Novak Djokovic win the US Open finals ?|Outlook not so good
will Novak Djokovic win the US Open semi-finals ?|Without a doubt
will Novak Djokovic win the US Open quarter-finals ?|Yes
did Novak Djokovic win the US Open finals ?|It is decidedly so
did Novak Djokovic win the US Open semi-finals ?|Better not tell you now
did Novak Djokovic win the US Open quarter-finals ?|Outlook good
Will Andy Murray win the US Open 2015 ?|Most likely
Did Andy Murray win the US Open 2015 ?|Outlook not so good
Will Roger Federer win the US Open 2015 ?|My sources say no
Did Roger Federer win the US Open 2015 ?|Very doubtful
Will Stan Wawrinka win the US Open 2015 ?|My sources say no
Did Stan Wawrinka win the US Open 2015 ?|Very doubtful
Will Rafael Nadal win the US Open 2015 ?|Very doubtful
Did Rafael Nadal win the US Open 2015 ?|Most likely
Will Tomas Berdych win the US Open 2015 ?|My sources say no
Will Kei Nishikori win the US Open 2015 ?|My sources say no
Did Kei Nishikori win the US Open 2015 ?|Very doubtful
Will David Ferrer win the US Open 2015 ?|Very doubtful
Did David Ferrer win the US Open 2015 ?|Most likely
Will Richard Gasquet win the US Open 2015 ?|It is decidedly so
Did Richard Gasquet win the US Open 2015 ?|Yes – definitely
Will Jo-Wilfried Tsonga win the US Open 2015 ?|Without a doubt
Will John Isner win the US Open 2015 ?|Outlook not so good
Did John Isner win the US Open 2015 ?|Concentrate and ask again
Will Kevin Anderson win the US Open 2015 ?|Yes – definitely
Did Kevin Anderson win the US Open 2015 ?|My sources say no
Will Marin Cilic win the US Open 2015 ?|Most likely
Did Marin Cilic win the US Open 2015 ?|Outlook not so good
Will Gilles Simon win the US Open 2015 ?|Very doubtful
Did Gilles Simon win the US Open 2015 ?|Most likely
Will David Goffin win the US Open 2015 ?|Very doubtful
Did David Goffin win the US Open 2015 ?|Most likely
Did Bernard Tomic win the US Open 2015 ?|Very doubtful
Will Benoit Paire win the US Open 2015 ?|Very doubtful
Did Benoit Paire win the US Open 2015 ?|Most likely
Will Serena Williams win the US Open 2015 ?|It is decidedly so
Did Serena Williams win the US Open 2015 ?|Yes – definitely
Will Simona Halep win the US Open 2015 ?|Very doubtful
Did Simona Halep win the US Open 2015 ?|Most likely
Will Agnieszka Radwanska win the US Open 2015 ?|My reply is no
Did Agnieszka Radwanska win the US Open 2015 ?|Without a doubt
Will Maria Sharapova win the US Open 2015 ?|It is decidedly so
Did Maria Sharapova win the US Open 2015 ?|Yes – definitely
Will Angelique Kerber win the US Open 2015 ?|Outlook not so good
Did Angelique Kerber win the US Open 2015 ?|It is decidedly so
Will Petra Kvitova win the US Open 2015 ?|My sources say no
Did Petra Kvitova win the US Open 2015 ?|Very doubtful
Will Flavia Pennetta win the US Open 2015 ?|It is decidedly so
Did Flavia Pennetta win the US Open 2015 ?|Yes – definitely
Will Flavia Pennetta lose the US Open 2015 ?|Outlook not so good
Did Flavia Pennetta lose the US Open 2015 ?|It is decidedly so
will Flavia Pennetta win the US Open semi-finals ?|Reply hazy, try again
will Flavia Pennetta win the US Open quarter-finals ?|Concentrate and ask again
did Flavia Pennetta win the US Open semi-finals ?|Without a doubt
did Flavia Pennetta win the US Open quarter-finals ?|Yes
Will Lucie Safarova win the US Open 2015 ?|Yes – definitely
Will Venus Williams win the US Open 2015 ?|Yes – definitely
Did Venus Williams win the US Open 2015 ?|My sources say no
Will Carla Suarez Navarro win the US Open 2015 ?|Better not tell you now
Will Karolina Pliskova win the US Open 2015 ?|Yes
Did Karolina Pliskova win the US Open 2015 ?|Outlook not so good
Did Belinda Bencic win the US Open 2015 ?|My sources say no
Will Timea Bacsinszky win the US Open 2015 ?|Outlook not so good
Did Timea Bacsinszky win the US Open 2015 ?|It is decidedly so
Will Victoria Azarenka win the US Open 2015 ?|Yes
Did Madison Keys win the US Open 2015 ?|Most likely
Will Caroline Wozniacki win the US Open 2015 ?|Without a doubt
Did Sara Errani win the US Open 2015 ?|Outlook not so good
Did Svetlana Kuznetsova win the US Open 2015 ?|Without a doubt
Will Elina Svitolina win the US Open 2015 ?|It is decidedly so
Did Elina Svitolina win the US Open 2015 ?|Yes – definitely
will Novak Djokovic win the Wimbledon 2015 semi-finals ?|Better not tell you now
will Novak Djokovic win the Wimbledon finals ?|Without a doubt
will Novak Djokovic win the Wimbledon semi-finals ?|Outlook good
will Novak Djokovic win the Wimbledon quarter-finals ?|You may rely on it
will Novak Djokovic qualify for the Wimbledon ?|My reply is no
did Novak Djokovic win the Wimbledon 2015 semi-finals ?|Without a doubt
did Novak Djokovic win the Wimbledon finals ?|Yes
did Novak Djokovic win the Wimbledon semi-finals ?|Reply hazy, try again
did Novak Djokovic win the Wimbledon quarter-finals ?|Concentrate and ask again
did Novak Djokovic qualify for the Wimbledon ?|Without a doubt
Will Roger Federer win the Wimbledon 2015 ?|It is decidedly so
Will Rafael Nadal win the Wimbledon 2015 ?|Yes – definitely
Did Rafael Nadal win the Wimbledon 2015 ?|My sources say no
will Serena Williams win the Wimbledon 2015 semi-finals ?|It is decidedly so
will Serena Williams win the Wimbledon finals ?|My reply is no
will Serena Williams win the Wimbledon semi-finals ?|Yes
will Serena Williams win the Wimbledon quarter-finals ?|Without a doubt
will Serena Williams qualify for the Wimbledon ?|Better not tell you now
did Serena Williams win the Wimbledon 2015 semi-finals ?|Better not tell you now
did Serena Williams win the Wimbledon finals ?|Without a doubt
did Serena Williams win the Wimbledon semi-finals ?|Outlook good
did Serena Williams win the Wimbledon quarter-finals ?|You may rely on it
did Serena Williams qualify for the Wimbledon ?|My reply is no
Did Simona Halep win the Wimbledon 2015 ?|My sources say no
Did Garbine Muguruza win the Wimbledon 2015 ?|Yes
Did Agnieszka Radwanska win the Wimbledon 2015 ?|Better not tell you now
Did Maria Sharapova win the Wimbledon 2015 ?|Outlook not so good
Did Angelique Kerber win the Wimbledon 2015 ?|Yes
Will Lucie Safarova win the Wimbledon 2015 ?|Outlook not so good
Did Lucie Safarova win the Wimbledon 2015 ?|It is decidedly so
Will Venus Williams win the Wimbledon 2015 ?|Outlook not so good
Did Venus Williams win the Wimbledon 2015 ?|It is decidedly so
Did Karolina Pliskova win the Wimbledon 2015 ?|Without a doubt
Will Belinda Bencic win the Wimbledon 2015 ?|Outlook not so good
Did Belinda Bencic win the Wimbledon 2015 ?|It is decidedly so
Will Victoria Azarenka win the Wimbledon 2015 ?|My reply is no
Did Victoria Azarenka win the Wimbledon 2015 ?|Without a doubt
Did Madison Keys win the Wimbledon 2015 ?|My sources say no
will Novak Djokovic win the Wimbledon 2014 semi-finals ?|Better not tell you now
did Novak Djokovic win the Wimbledon 2014 semi-finals ?|Without a doubt
Will Roger Federer win the Wimbledon 2014 ?|It is decidedly so
Did Roger Federer win the Wimbledon 2014 ?|Yes – definitely
Will Rafael Nadal win the Wimbledon 2014 ?|Yes – definitely
Did Rafael Nadal win the Wimbledon 2014 ?|My sources say no
Will Richard Gasquet win the Wimbledon 2014 ?|Yes
Did Richard Gasquet win the Wimbledon 2014 ?|Outlook not so good
Will Milos Raonic win the Wimbledon 2014 ?|Yes – definitely
Did Milos Raonic win the Wimbledon 2014 ?|My sources say no
Will Serena Williams win the Wimbledon 2014 ?|Yes
Did Simona Halep win the Wimbledon 2014 ?|My sources say no
Did Agnieszka Radwanska win the Wimbledon 2014 ?|Better not tell you now
Will Maria Sharapova win the Wimbledon 2014 ?|Yes
Did Maria Sharapova win the Wimbledon 2014 ?|Outlook not so good
will Petra Kvitova win the Wimbledon 2014 semi-finals ?|Without a doubt
will Petra Kvitova win the Wimbledon finals ?|Yes
will Petra Kvitova win the Wimbledon semi-finals ?|Reply hazy, try again
will Petra Kvitova win the Wimbledon quarter-finals ?|Concentrate and ask again
will Petra Kvitova qualify for the Wimbledon ?|Without a doubt
did Petra Kvitova win the Wimbledon 2014 semi-finals ?|You may rely on it
did Petra Kvitova win the Wimbledon finals ?|Outlook not so good
did Petra Kvitova win the Wimbledon semi-finals ?|Without a doubt
did Petra Kvitova win the Wimbledon quarter-finals ?|Yes
did Petra Kvitova qualify for the Wimbledon ?|Yes
Will Lucie Safarova win the Wimbledon 2014 ?|Outlook not so good
Did Timea Bacsinszky win the Wimbledon 2014 ?|Yes
Will Victoria Azarenka win the Wimbledon 2014 ?|My reply is no
Did Victoria Azarenka win the Wimbledon 2014 ?|Without a doubt
Did Madison Keys win the Wimbledon 2014 ?|My sources say no
Will Novak Djokovic win the French Open 2015 ?|Without a doubt
Did Novak Djokovic win the French Open 2015 ?|Yes
Will Novak Djokovic lose the French Open 2015 ?|My reply is no
Did Novak Djokovic lose the French Open 2015 ?|Without a doubt
will Novak Djokovic win the French Open 2015 finals ?|Concentrate and ask again
will Novak Djokovic win the French Open 2015 semi-finals ?|Cannot predict now
will Novak Djokovic qualify for the French Open 2015 ?|You may rely on it
will Novak Djokovic win the French Open finals ?|Better not tell you now
will Novak Djokovic win the French Open semi-finals ?|Concentrate and ask again
will Novak Djokovic win the French Open quarter-finals ?|Better not tell you now
will Novak Djokovic qualify for the French Open ?|Without a doubt
did Novak Djokovic win the French Open 2015 finals ?|Yes
did Novak Djokovic win the French Open 2015 semi-finals ?|It is decidedly so
did Novak Djokovic qualify for the French Open 2015 ?|Concentrate and ask again
did Novak Djokovic win the French Open finals ?|My reply is no
did Novak Djokovic win the French Open semi-finals ?|Yes
did Novak Djokovic win the French Open quarter-finals ?|Without a doubt
did Novak Djokovic qualify for the French Open ?|Better not tell you now
Will Andy Murray win the French Open 2015 ?|It is decidedly so
Did Andy Murray win the French Open 2015 ?|Yes – definitely
Will Stan Wawrinka win the French Open 2015 ?|Yes
Did Stan Wawrinka win the French Open 2015 ?|Outlook not so good
Will Rafael Nadal win the French Open 2015 ?|Outlook not so good
Did Rafael Nadal win the French Open 2015 ?|It is decidedly so
Will Tomas Berdych win the French Open 2015 ?|Yes
Did Tomas Berdych win the French Open 2015 ?|Outlook not so good
Will Kei Nishikori win the French Open 2015 ?|Yes
Did Kei Nishikori win the French Open 2015 ?|Outlook not so good
Will David Ferrer win the French Open 2015 ?|Outlook not so good
Did David Ferrer win the French Open 2015 ?|It is decidedly so
Will Richard Gasquet win the French Open 2015 ?|My reply is no
Did Richard Gasquet win the French Open 2015 ?|Without a doubt
Will Jo-Wilfried Tsonga win the French Open 2015 ?|Reply hazy, try again
Did Jo-Wilfried Tsonga win the French Open 2015 ?|Without a doubt
Will John Isner win the French Open 2015 ?|Yes – definitely
Did John Isner win the French Open 2015 ?|My sources say no
Will Kevin Anderson win the French Open 2015 ?|Without a doubt
Will Marin Cilic win the French Open 2015 ?|It is decidedly so
Did Marin Cilic win the French Open 2015 ?|Yes – definitely
Will Gilles Simon win the French Open 2015 ?|Outlook not so good
Did David Goffin win the French Open 2015 ?|It is decidedly so
Did Bernard Tomic win the French Open 2015 ?|Outlook not so good
Will Serena Williams win the French Open 2015 ?|My reply is no
Did Serena Williams win the French Open 2015 ?|Without a doubt
Will Serena Williams lose the French Open 2015 ?|Better not tell you now
Did Serena Williams lose the French Open 2015 ?|My reply is no
will Serena Williams win the French Open 2015 finals ?|You may rely on it
will Serena Williams win the French Open 2015 semi-finals ?|Outlook good
will Serena Williams qualify for the French Open 2015 ?|Without a doubt
will Serena Williams win the French Open finals ?|Without a doubt
will Serena Williams win the French Open semi-finals ?|You may rely on it
will Serena Williams win the French Open quarter-finals ?|It is decidedly so
will Serena Williams qualify for the French Open ?|Reply hazy, try again
did Serena Williams win the French Open 2015 finals ?|Concentrate and ask again
did Serena Williams win the French Open 2015 semi-finals ?|Cannot predict now
did Serena Williams qualify for the French Open 2015 ?|You may rely on it
did Serena Williams win the French Open finals ?|Better not tell you now
did Serena Williams win the French Open semi-finals ?|Concentrate and ask again
did Serena Williams win the French Open quarter-finals ?|Better not tell you now
did Serena Williams qualify for the French Open ?|Without a doubt
Will Simona Halep win the French Open 2015 ?|Outlook not so good
Did Simona Halep win the French Open 2015 ?|It is decidedly so
Will Garbine Muguruza win the French Open 2015 ?|Better not tell you now
Did Garbine Muguruza win the French Open 2015 ?|My reply is no
Will Agnieszka Radwanska win the French Open 2015 ?|Outlook good
Did Agnieszka Radwanska win the French Open 2015 ?|Reply hazy, try again
Will Maria Sharapova win the French Open 2015 ?|My reply is no
Will Angelique Kerber win the French Open 2015 ?|Better not tell you now
Will Petra Kvitova win the French Open 2015 ?|Yes
Did Petra Kvitova win the French Open 2015 ?|Outlook not so good
Will Flavia Pennetta win the French Open 2015 ?|My reply is no
Did Flavia Pennetta win the French Open 2015 ?|Without a doubt
Will Lucie Safarova win the French Open 2015 ?|Without a doubt
Did Lucie Safarova win the French Open 2015 ?|Yes
Will Venus Williams win the French Open 2015 ?|Without a doubt
Did Venus Williams win the French Open 2015 ?|Yes
Will Carla Suarez Navarro win the French Open 2015 ?|Yes
Did Carla Suarez Navarro win the French Open 2015 ?|Outlook good
Did Karolina Pliskova win the French Open 2015 ?|Better not tell you now
Will Belinda Bencic win the French Open 2015 ?|Without a doubt
Did Belinda Bencic win the French Open 2015 ?|Yes
Will Timea Bacsinszky win the French Open 2015 ?|Better not tell you now
Did Timea Bacsinszky win the French Open 2015 ?|My reply is no
Will Victoria Azarenka win the French Open 2015 ?|Without a doubt
Did Victoria Azarenka win the French Open 2015 ?|Better not tell you now
Will Madison Keys win the French Open 2015 ?|Outlook not so good
Will Elina Svitolina win the French Open 2015 ?|My reply is no
Will Li Na win the French Open 2015 ?|Concentrate and ask again
Will Jeff Sessions become the Alabama senator ?|My reply is no
Will Mark Udall become the Alabama senator ?|Outlook not so good
Did Jeff Sessions become the Alabama senator ?|Without a doubt
Did Rick Scott become the Alabama senator ?|It is decidedly so
Did Jeff Sessions lose the Alabama senate election ?|Yes
Will Mark Pryor become the Arkansas senator ?|Yes
Did Mark Pryor become the Arkansas senator ?|Outlook not so good
Did John Kasich become the Arkansas senator ?|Yes
Did Mark Pryor win the Arkansas senate election ?|Without a doubt
Will Mark Pryor win the Arkansas senate election ?|Reply hazy, try again
Did Mark Pryor lose the Arkansas senate election ?|Reply hazy, try again
Will Mark Pryor lose the Arkansas senate election ?|Outlook good
Will Mark Udall become the Colorado senator ?|Yes
Will Saxby Chambliss become the Colorado senator ?|Reply hazy, try again
Did Mark Udall become the Colorado senator ?|Outlook not so good
Did Jeff Sessions become the Colorado senator ?|My reply is no
Did Mark Udall lose the Colorado senate election ?|Reply hazy, try again
Will Mark Udall lose the Colorado senate election ?|Outlook good
Will Chris Coons become the Delaware senator ?|Without a doubt
Did Chris Coons become the Delaware senator ?|Yes
Did Chris Coons win the Delaware senate election ?|Reply hazy, try again
Will Chris Coons win the Delaware senate election ?|Outlook good
Did Chris Coons lose the Delaware senate election ?|Outlook good
Will Chris Coons lose the Delaware senate election ?|Yes
Will Jim Risch become the Idaho senator ?|My sources say no
Did Jim Risch become the Idaho senator ?|Very doubtful
Did Jim Risch win the Idaho senate election ?|Yes
Will Jim Risch win the Idaho senate election ?|Without a doubt
Did Jim Risch lose the Idaho senate election ?|Without a doubt
Will Jim Risch lose the Idaho senate election ?|My reply is no
Will Richard Durbin become the Illinois senator ?|Without a doubt
Will Jerry Brown become the Illinois senator ?|Without a doubt
Did Richard Durbin become the Illinois senator ?|Better not tell you now
Did Mitch McConnell become the Illinois senator ?|Without a doubt
Did Jeanne Shaheen win the Illinois senate election ?|Concentrate and ask again
Will Tom Harkin become the Iowa senator ?|My sources say no
Did Tom Harkin become the Iowa senator ?|Very doubtful
Did Lincoln Chafee become the Iowa senator ?|Outlook not so good
Did Tom Harkin win the Iowa senate election ?|Yes
Did Tom Harkin lose the Iowa senate election ?|Without a doubt
Will Pat Roberts become the Kansas senator ?|Outlook not so good
Will Mark Dayton become the Kansas senator ?|Outlook not so good
Did Pat Roberts become the Kansas senator ?|It is decidedly so
Did Mark Begich become the Kansas senator ?|It is decidedly so
Will Pat Roberts win the Kansas senate election ?|Without a doubt
Did Pat Roberts lose the Kansas senate election ?|Without a doubt
Will Pat Roberts lose the Kansas senate election ?|Reply hazy, try again
Will Mitch McConnell become the Kentucky senator ?|Reply hazy, try again
Will Susan Collins become the Kentucky senator ?|Better not tell you now
Did Mitch McConnell become the Kentucky senator ?|Without a doubt
Did John Cornyn become the Kentucky senator ?|Yes
Did Mitch McConnell win the Kentucky senate election ?|You may rely on it
Will Mitch McConnell win the Kentucky senate election ?|Without a doubt
Did Mitch McConnell lose the Kentucky senate election ?|Without a doubt
Will Mitch McConnell lose the Kentucky senate election ?|Better not tell you now
Will Susan Collins become the Maine senator ?|Yes
Did Susan Collins become the Maine senator ?|Outlook not so good
Did Susan Collins win the Maine senate election ?|Without a doubt
Will Susan Collins win the Maine senate election ?|Reply hazy, try again
Did Susan Collins lose the Maine senate election ?|Reply hazy, try again
Will Susan Collins lose the Maine senate election ?|Outlook good
Will Ed Markey become the Massachusetts senator ?|Without a doubt
Will Lamar Alexander become the Massachusetts senator ?|Without a doubt
Did Ed Markey become the Massachusetts senator ?|Better not tell you now
Will Carl Levin become the Michigan senator ?|Yes
Did Carl Levin become the Michigan senator ?|Outlook not so good
Did Carl Levin win the Michigan senate election ?|Without a doubt
Will Carl Levin win the Michigan senate election ?|Reply hazy, try again
Did Carl Levin lose the Michigan senate election ?|Reply hazy, try again
Will Carl Levin lose the Michigan senate election ?|Outlook good
Will Thad Cochran become the Mississippi senator ?|Reply hazy, try again
Did Thad Cochran become the Mississippi senator ?|Without a doubt
Will John Walsh become the Montana senator ?|Outlook not so good
Did John Walsh become the Montana senator ?|It is decidedly so
Will Jeanne Shaheen become the New Hampshire senator ?|You may rely on it
Will Cory Booker become the New Hampshire senator ?|Outlook good
Did Jeanne Shaheen become the New Hampshire senator ?|Concentrate and ask again
Did Jeanne Shaheen win the New Hampshire senate election ?|Cannot predict now
Will Jeanne Shaheen win the New Hampshire senate election ?|Outlook good
Did Jeanne Shaheen lose the New Hampshire senate election ?|Outlook good
Will Jeanne Shaheen lose the New Hampshire senate election ?|Signs point to yes
Will Cory Booker become the New Jersey senator ?|Better not tell you now
Did Cory Booker become the New Jersey senator ?|My reply is no
Did Cory Booker win the New Jersey senate election ?|Yes
Will Cory Booker win the New Jersey senate election ?|Concentrate and ask again
Did Cory Booker lose the New Jersey senate election ?|Concentrate and ask again
Will Cory Booker lose the New Jersey senate election ?|You may rely on it
Will Kay Hagan become the North Carolina senator ?|Reply hazy, try again
Will Susan Collins become the North Carolina senator ?|You may rely on it
Did Kay Hagan become the North Carolina senator ?|Without a doubt
Did Pat Roberts become the North Carolina senator ?|Outlook good
Did Kay Hagan win the North Carolina senate election ?|You may rely on it
Did Mary Landrieu win the North Carolina senate election ?|Cannot predict now
Did Kay Hagan lose the North Carolina senate election ?|Without a doubt
Will Jim Inhofe become the Oklahoma senator ?|Yes
Did Jim Inhofe become the Oklahoma senator ?|Outlook not so good
Did Mike Enzi win the Oklahoma senate election ?|Better not tell you now
Will Jeff Merkley become the Oregon senator ?|Yes
Did Jeff Merkley become the Oregon senator ?|Outlook not so good
Will Lindsey Graham become the South Carolina senator ?|Without a doubt
Will Mitch McConnell become the South Carolina senator ?|Better not tell you now
Did Lindsey Graham become the South Carolina senator ?|You may rely on it
Did Dennis Daugaard become the South Carolina senator ?|Without a doubt
Did Lindsey Graham win the South Carolina senate election ?|Outlook good
Did Rick Snyder win the South Carolina senate election ?|Better not tell you now
Will Lindsey Graham win the South Carolina senate election ?|Signs point to yes
Did Lindsey Graham lose the South Carolina senate election ?|Signs point to yes
Will Lindsey Graham lose the South Carolina senate election ?|Reply hazy, try again
Will Tim Johnson become the South Dakota senator ?|Reply hazy, try again
Will John Hickenlooper become the South Dakota senator ?|Better not tell you now
Did Tim Johnson become the South Dakota senator ?|Without a doubt
Did Susan Collins become the South Dakota senator ?|Outlook good
Did Tim Johnson win the South Dakota senate election ?|You may rely on it
Did Tim Johnson lose the South Dakota senate election ?|Without a doubt
Will Lamar Alexander become the Tennessee senator ?|Outlook good
Did Lamar Alexander become the Tennessee senator ?|Reply hazy, try again
Did Lamar Alexander win the Tennessee senate election ?|Without a doubt
Will Lamar Alexander win the Tennessee senate election ?|Better not tell you now
Did Lamar Alexander lose the Tennessee senate election ?|Better not tell you now
Will Lamar Alexander lose the Tennessee senate election ?|It is decidedly so
Will John Cornyn become the Texas senator ?|It is decidedly so
Will Lincoln Chafee become the Texas senator ?|Without a doubt
Did John Cornyn become the Texas senator ?|Yes – definitely
Did Tom Udall become the Texas senator ?|Very doubtful
Will Mark Warner become the Virginia senator ?|Without a doubt
Will Jerry Brown become the Virginia senator ?|Without a doubt
Did Mark Warner become the Virginia senator ?|Yes
Did Mark Warner win the Virginia senate election ?|Reply hazy, try again
Will Mark Warner win the Virginia senate election ?|Outlook good
Did Mark Warner lose the Virginia senate election ?|Outlook good
Will Mark Warner lose the Virginia senate election ?|Yes
Will Mike Enzi become the Wyoming senator ?|It is decidedly so
Will Terry Branstad become the Wyoming senator ?|Better not tell you now
Did Mike Enzi become the Wyoming senator ?|Yes – definitely
Did Matt Mead become the Wyoming senator ?|Yes – definitely
Did Mike Enzi win the Wyoming senate election ?|My reply is no
Will Mike Enzi win the Wyoming senate election ?|Better not tell you now
Did Mike Enzi lose the Wyoming senate election ?|Better not tell you now
Will Mike Enzi lose the Wyoming senate election ?|Without a doubt
Will Robert J . Bentley become the Alabama governor ?|Concentrate and ask again
Will Pat Roberts become the Alabama governor ?|Without a doubt
Did Robert J . Bentley become the Alabama governor ?|Yes
Did Jerry Brown become the Alabama governor ?|Yes
Will Sean Parnell become the Alaska governor ?|Without a doubt
Will Butch Otter become the Alaska governor ?|Yes
Did Sean Parnell become the Alaska governor ?|Yes
Did Mike Enzi become the Alaska governor ?|Yes – definitely
Will Mike Beebe become the Arkansas governor ?|Without a doubt
Will John Kitzhaber become the Arkansas governor ?|Reply hazy, try again
Did Mike Beebe become the Arkansas governor ?|Yes
Did Andrew Cuomo become the Arkansas governor ?|My reply is no
Will Jerry Brown become the California governor ?|Without a doubt
Will Pat Roberts become the California governor ?|Without a doubt
Did Jerry Brown become the California governor ?|Better not tell you now
Did Jay Rockefeller become the California governor ?|Yes
